HA.PY 195 1 1 1 1 1 29.0 0
HA.QF 176 1 1 1 1 1 26.6 0
HE.CAZ 138 1 1 1 1 1 21.6 0
HE.FUC 79 1 1 1 1 1 13.3 0
HE.GAZ 103 1 1 1 1 1 16.7 0
HE.HEJ 145 1 1 1 1 1 22.5 0
HE.HUH 168 1 1 1 1 1 25.5 0
HE.MEC 120 1 1 1 1 1 19.1 0
HE.WUJ 171 1 1 1 1 1 25.9 0
HE.XIH 107 1 1 1 1 1 17.3 0
HE.ZAQ 53 1 1 1 1 1 9.6 0
SD.DSH 150 1 1 1 1 1 23.2 0
SD.DZH 32 1 1 1 1 1 6.4 0
SD.LCH 86 1 1 1 1 1 14.3 0
SD.LSH 151 1 1 1 1 1 23.3 0
SD.SHH 86 1 1 1 1 1 14.3 0
SD.TIA 122 1 1 1 1 1 19.4 0
SD.XIT 185 1 1 1 1 1 27.8 0
