IU.CCM -91.24 38.06 0.22
IU.WCI -86.29 38.23 0.21
IU.WVT -87.83 36.13 0.17
NM.BLO -86.52 39.17 0.25
NM.FVM -90.43 37.98 0.14
NM.PBMO -90.43 36.78 0.14
NM.PVMO -89.70 36.41 0.10
NM.SIUC -89.22 37.71 0.12
NM.SLM -90.24 38.64 0.19
NM.UTMT -88.87 36.34 0.12
